SubSectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,Silver,,,Software,,,Steel,,,Railroads,,,Gold,,,BanksUS,,,Transportation,,,Retail,,,Pharma,,,Metals & Mining,,,Chemicals,,,SOX,,,Biotech,,,Agriculture,,,Homebuilders,,,Airlines,,,Aerospace,,,Automotive,
SPX Index,,,SLVRLN Index,,,S5SFTW Index,,,S5STEL Index,,,S5RAIL Index,,,Gold,,,S5BANKX Index,,,S5TRAN Index,,,S5RETL Index,,,S5PHARX Index,,,S5METL Index,,,S5CHEM Index,,,SOX Index,,,S5BIOTX Index,,,S5AGRI Index,,,S5HOME Index,,,S5AIRLX Index,,,S5AERO Index,,,S5AUCO Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2016/04/14,2082.780029,,2016/04/13,1598,,2016/04/13,1086.04,,2016/04/13,114.58,,2016/04/13,929.79,,2016/04/13,1245.75,,2016/04/13,209.45,,2016/04/13,519.63,,2016/04/13,1275.14,,2016/04/13,583.8,,2016/04/13,91.23,,2016/04/13,483.2,,2016/04/13,685.1525,,2016/04/13,3590.86,,2016/04/13,641.94,,2016/04/13,696.87,,2016/04/13,294.21,,2016/04/13,752.01,,2016/04/13,117.55
2016/04/13,2082.419922,,2016/04/12,1596,,2016/04/12,1072.75,,2016/04/12,112.25,,2016/04/12,902.09,,2016/04/12,1254.6,,2016/04/12,201.86,,2016/04/12,508.91,,2016/04/12,1260.14,,2016/04/12,579.01,,2016/04/12,90.27,,2016/04/12,477.58,,2016/04/12,669.7427,,2016/04/12,3571.08,,2016/04/12,636.58,,2016/04/12,679.53,,2016/04/12,286.63,,2016/04/12,744.8,,2016/04/12,113.96
2016/04/12,2061.719971,,2016/04/11,1556,,2016/04/11,1066.12,,2016/04/11,111.26,,2016/04/11,894.67,,2016/04/11,1254.75,,2016/04/11,198.25,,2016/04/11,504.38,,2016/04/11,1244.33,,2016/04/11,577.45,,2016/04/11,89.68,,2016/04/11,471.02,,2016/04/11,670.6036,,2016/04/11,3515.29,,2016/04/11,622.24,,2016/04/11,672.71,,2016/04/11,284.91,,2016/04/11,738.28,,2016/04/11,113.35
2016/04/11,2041.98999,,2016/04/08,1516,,2016/04/08,1070.94,,2016/04/08,110.38,,2016/04/08,904.21,,2016/04/08,1239.5,,2016/04/08,197.01,,2016/04/08,505.91,,2016/04/08,1250.3,,2016/04/08,583.36,,2016/04/08,86.18,,2016/04/08,470.25,,2016/04/08,671.3112,,2016/04/08,3542.21,,2016/04/08,623.79,,2016/04/08,677.13,,2016/04/08,283.62,,2016/04/08,739.69,,2016/04/08,112.42
2016/04/08,2047.599976,,2016/04/07,1522,,2016/04/07,1072.26,,2016/04/07,108.67,,2016/04/07,890.72,,2016/04/07,1242.1,,2016/04/07,196.04,,2016/04/07,500.88,,2016/04/07,1255.11,,2016/04/07,586.83,,2016/04/07,84.13,,2016/04/07,467.13,,2016/04/07,667.4601,,2016/04/07,3563.75,,2016/04/07,617.4,,2016/04/07,674.38,,2016/04/07,281.02,,2016/04/07,737.14,,2016/04/07,112.04
2016/04/07,2041.910034,,2016/04/06,1507,,2016/04/06,1085.22,,2016/04/06,110.21,,2016/04/06,897.23,,2016/04/06,1221.4,,2016/04/06,201.61,,2016/04/06,506.73,,2016/04/06,1274.68,,2016/04/06,589.34,,2016/04/06,85.83,,2016/04/06,472.62,,2016/04/06,678.2148,,2016/04/06,3632.74,,2016/04/06,614.29,,2016/04/06,678.85,,2016/04/06,286.71,,2016/04/06,740.42,,2016/04/06,113.93
2016/04/06,2066.659912,,2016/04/05,1519,,2016/04/05,1073.78,,2016/04/05,109.19,,2016/04/05,900.94,,2016/04/05,1231.25,,2016/04/05,199.88,,2016/04/05,506.59,,2016/04/05,1262.09,,2016/04/05,575.56,,2016/04/05,84.52,,2016/04/05,469.87,,2016/04/05,671.3339,,2016/04/05,3486.78,,2016/04/05,606.85,,2016/04/05,663.64,,2016/04/05,287.02,,2016/04/05,735.34,,2016/04/05,113.79
2016/04/05,2045.170044,,2016/04/04,1496,,2016/04/04,1085.02,,2016/04/04,108.95,,2016/04/04,902.28,,2016/04/04,1219.75,,2016/04/04,203.65,,2016/04/04,509.51,,2016/04/04,1271.77,,2016/04/04,583.26,,2016/04/04,83.77,,2016/04/04,473.87,,2016/04/04,675.3909,,2016/04/04,3493,,2016/04/04,622.93,,2016/04/04,663.22,,2016/04/04,288.78,,2016/04/04,735.01,,2016/04/04,114.75
2016/04/04,2066.129883,,2016/04/01,1538,,2016/04/01,1092.85,,2016/04/01,110.91,,2016/04/01,909.99,,2016/04/01,1213.6,,2016/04/01,204.5,,2016/04/01,512.1,,2016/04/01,1282.82,,2016/04/01,577.39,,2016/04/01,85.87,,2016/04/01,477.25,,2016/04/01,681.5943,,2016/04/01,3454.91,,2016/04/01,630.36,,2016/04/01,681.01,,2016/04/01,290.33,,2016/04/01,735.28,,2016/04/01,117.52
2016/04/01,2072.780029,,2016/03/31,1538,,2016/03/31,1082.64,,2016/03/31,110.4,,2016/03/31,915.07,,2016/03/31,1237,,2016/03/31,203.01,,2016/03/31,518.02,,2016/03/31,1271.47,,2016/03/31,570.68,,2016/03/31,86.51,,2016/03/31,473.13,,2016/03/31,676.8923,,2016/03/31,3382.77,,2016/03/31,627.6,,2016/03/31,686.59,,2016/03/31,299.58,,2016/03/31,731.51,,2016/03/31,119.92
2016/03/31,2059.73999,,2016/03/30,1538,,2016/03/30,1082.47,,2016/03/30,112.76,,2016/03/30,928.63,,2016/03/30,1236.25,,2016/03/30,204.18,,2016/03/30,521.5,,2016/03/30,1278.35,,2016/03/30,575,,2016/03/30,87.27,,2016/03/30,479,,2016/03/30,680.7881,,2016/03/30,3357.81,,2016/03/30,632.95,,2016/03/30,680.62,,2016/03/30,301.78,,2016/03/30,735.35,,2016/03/30,118.65
2016/03/30,2063.949951,,2016/03/29,1506,,2016/03/29,1078.62,,2016/03/29,110.26,,2016/03/29,916.51,,2016/03/29,1226,,2016/03/29,202.32,,2016/03/29,519.07,,2016/03/29,1272.25,,2016/03/29,575.77,,2016/03/29,86.69,,2016/03/29,475.62,,2016/03/29,674.136,,2016/03/29,3372.28,,2016/03/29,637.27,,2016/03/29,688.41,,2016/03/29,299.63,,2016/03/29,734.78,,2016/03/29,117.82
2016/03/29,2055.01001,,2016/03/24,1528,,2016/03/28,1061.89,,2016/03/28,109.37,,2016/03/28,905.19,,2016/03/24,1221,,2016/03/28,204.27,,2016/03/28,513.1,,2016/03/28,1255.18,,2016/03/28,570.03,,2016/03/28,85.41,,2016/03/28,475.23,,2016/03/28,665.2124,,2016/03/28,3345.03,,2016/03/28,628.29,,2016/03/28,669.25,,2016/03/28,294.88,,2016/03/28,731.32,,2016/03/28,116.7
2016/03/28,2037.050049,,2016/03/23,1558,,2016/03/24,1065.31,,2016/03/24,108.49,,2016/03/24,927.35,,2016/03/23,1217.6,,2016/03/24,204.76,,2016/03/24,517.4,,2016/03/24,1251.01,,2016/03/24,573.13,,2016/03/24,84.63,,2016/03/24,473.04,,2016/03/24,666.1355,,2016/03/24,3357.34,,2016/03/24,630.36,,2016/03/24,661.77,,2016/03/24,293.84,,2016/03/24,730.65,,2016/03/24,116.59
2016/03/24,2035.939941,,2016/03/22,1589,,2016/03/23,1061.2,,2016/03/23,107.48,,2016/03/23,927.01,,2016/03/22,1252.5,,2016/03/23,206.48,,2016/03/23,520.25,,2016/03/23,1245.33,,2016/03/23,574.13,,2016/03/23,82.83,,2016/03/23,474.05,,2016/03/23,666.4623,,2016/03/23,3342.89,,2016/03/23,632.61,,2016/03/23,661.18,,2016/03/23,300.77,,2016/03/23,737.65,,2016/03/23,117.46
2016/03/23,2036.709961,,2016/03/21,1581,,2016/03/22,1064.82,,2016/03/22,108.74,,2016/03/22,937.07,,2016/03/21,1244.9,,2016/03/22,208.66,,2016/03/22,524.08,,2016/03/22,1243.37,,2016/03/22,573.45,,2016/03/22,88.68,,2016/03/22,476.18,,2016/03/22,675.2997,,2016/03/22,3429.29,,2016/03/22,650.07,,2016/03/22,672.06,,2016/03/22,304.13,,2016/03/22,740.51,,2016/03/22,119.68
2016/03/22,2049.800049,,2016/03/18,1594,,2016/03/21,1065.81,,2016/03/21,108.32,,2016/03/21,951.16,,2016/03/18,1252.1,,2016/03/21,209.59,,2016/03/21,529.56,,2016/03/21,1246.06,,2016/03/21,569.12,,2016/03/21,88.63,,2016/03/21,476.25,,2016/03/21,675.9567,,2016/03/21,3363.59,,2016/03/21,659.74,,2016/03/21,674.68,,2016/03/21,308.09,,2016/03/21,741.26,,2016/03/21,120.08
2016/03/21,2051.600098,,2016/03/17,1573,,2016/03/18,1059.96,,2016/03/18,109,,2016/03/18,957.11,,2016/03/17,1266.5,,2016/03/18,209.29,,2016/03/18,529.42,,2016/03/18,1246.08,,2016/03/18,565.08,,2016/03/18,88.99,,2016/03/18,479.61,,2016/03/18,675.0298,,2016/03/18,3313.33,,2016/03/18,658.02,,2016/03/18,682.36,,2016/03/18,306.32,,2016/03/18,738.66,,2016/03/18,119.92
2016/03/18,2049.580078,,2016/03/16,1529,,2016/03/17,1061.09,,2016/03/17,108.88,,2016/03/17,943.82,,2016/03/16,1228.5,,2016/03/17,205.06,,2016/03/17,520.45,,2016/03/17,1244.95,,2016/03/17,560.34,,2016/03/17,88.78,,2016/03/17,479.29,,2016/03/17,665.9534,,2016/03/17,3265.6,,2016/03/17,660.26,,2016/03/17,676.88,,2016/03/17,298.18,,2016/03/17,729.75,,2016/03/17,119.34
2016/03/17,2040.589966,,2016/03/15,1532,,2016/03/16,1056.36,,2016/03/16,106.18,,2016/03/16,917.43,,2016/03/15,1232,,2016/03/16,204.08,,2016/03/16,507.72,,2016/03/16,1250.65,,2016/03/16,565.58,,2016/03/16,86.51,,2016/03/16,469.13,,2016/03/16,661.1899,,2016/03/16,3295.24,,2016/03/16,647.47,,2016/03/16,669.35,,2016/03/16,299.69,,2016/03/16,722.06,,2016/03/16,118.74
2016/03/16,2027.219971,,2016/03/14,1560,,2016/03/15,1043.24,,2016/03/15,105.15,,2016/03/15,910.31,,2016/03/14,1242.75,,2016/03/15,206.09,,2016/03/15,503.54,,2016/03/15,1246.62,,2016/03/15,571.52,,2016/03/15,82.21,,2016/03/15,462.92,,2016/03/15,655.4131,,2016/03/15,3289.39,,2016/03/15,631.92,,2016/03/15,659.82,,2016/03/15,295.72,,2016/03/15,716.84,,2016/03/15,116.41
2016/03/15,2015.930054,,2016/03/11,1550,,2016/03/14,1041.14,,2016/03/14,105.38,,2016/03/14,914.22,,2016/03/11,1264.75,,2016/03/14,206.11,,2016/03/14,505.53,,2016/03/14,1245.5,,2016/03/14,581.6,,2016/03/14,84.51,,2016/03/14,465.86,,2016/03/14,656.3515,,2016/03/14,3349.79,,2016/03/14,634.51,,2016/03/14,663.46,,2016/03/14,298,,2016/03/14,716.43,,2016/03/14,116.56
2016/03/14,2019.640015,,2016/03/10,1527,,2016/03/11,1038.01,,2016/03/11,105.92,,2016/03/11,918.77,,2016/03/10,1266.5,,2016/03/11,207.1,,2016/03/11,505.23,,2016/03/11,1241.4,,2016/03/11,585.87,,2016/03/11,83.94,,2016/03/11,470.48,,2016/03/11,659.1436,,2016/03/11,3368.41,,2016/03/11,632.61,,2016/03/11,666.94,,2016/03/11,295.98,,2016/03/11,717.11,,2016/03/11,116.87
2016/03/11,2022.189941,,2016/03/09,1527,,2016/03/10,1018.16,,2016/03/10,105.01,,2016/03/10,892.3,,2016/03/09,1246.4,,2016/03/10,201.45,,2016/03/10,495.02,,2016/03/10,1222.47,,2016/03/10,576.65,,2016/03/10,84.55,,2016/03/10,461.07,,2016/03/10,646.5827,,2016/03/10,3302.4,,2016/03/10,618.26,,2016/03/10,642.89,,2016/03/10,290.33,,2016/03/10,710.16,,2016/03/10,114.64
2016/03/10,1989.569946,,2016/03/08,1566,,2016/03/09,1022.05,,2016/03/09,101.63,,2016/03/09,896.26,,2016/03/08,1267,,2016/03/09,201.43,,2016/03/09,495.29,,2016/03/09,1216.03,,2016/03/09,576.56,,2016/03/09,81.56,,2016/03/09,460.53,,2016/03/09,643.2729,,2016/03/09,3312.73,,2016/03/09,623.27,,2016/03/09,644.9,,2016/03/09,290.11,,2016/03/09,711.07,,2016/03/09,114.95
2016/03/09,1989.26001,,2016/03/07,1566,,2016/03/08,1008.76,,2016/03/08,103.45,,2016/03/08,883.57,,2016/03/07,1267.9,,2016/03/08,201.47,,2016/03/08,491.41,,2016/03/08,1214.25,,2016/03/08,572.79,,2016/03/08,80.59,,2016/03/08,458.04,,2016/03/08,638.011,,2016/03/08,3353.16,,2016/03/08,622.76,,2016/03/08,635.95,,2016/03/08,285.32,,2016/03/08,708.21,,2016/03/08,114.87
2016/03/08,1979.26001,,2016/03/04,1543,,2016/03/07,1011.97,,2016/03/07,104.47,,2016/03/07,918.49,,2016/03/04,1277.5,,2016/03/07,206.74,,2016/03/07,503.74,,2016/03/07,1217.23,,2016/03/07,577.85,,2016/03/07,85.19,,2016/03/07,465.21,,2016/03/07,652.6815,,2016/03/07,3427.96,,2016/03/07,641.94,,2016/03/07,647.3,,2016/03/07,293,,2016/03/07,709.7,,2016/03/07,117.8
2016/03/07,2001.76001,,2016/03/03,1497,,2016/03/04,1025.15,,2016/03/04,100.27,,2016/03/04,905.59,,2016/03/03,1250.25,,2016/03/04,207.32,,2016/03/04,500.17,,2016/03/04,1226.99,,2016/03/04,573.64,,2016/03/04,82.72,,2016/03/04,460.54,,2016/03/04,650.6182,,2016/03/04,3370.77,,2016/03/04,650.76,,2016/03/04,647.89,,2016/03/04,293.17,,2016/03/04,714.39,,2016/03/04,117.74
2016/03/04,1999.98999,,2016/03/02,1482,,2016/03/03,1026.97,,2016/03/03,99.78,,2016/03/03,899.23,,2016/03/02,1239.2,,2016/03/03,206.32,,2016/03/03,498.71,,2016/03/03,1226.08,,2016/03/03,575.33,,2016/03/03,81.75,,2016/03/03,453.39,,2016/03/03,643.8907,,2016/03/03,3382.4,,2016/03/03,636.58,,2016/03/03,653.36,,2016/03/03,295.04,,2016/03/03,712.23,,2016/03/03,116.97
2016/03/03,1993.400024,,2016/03/01,1499,,2016/03/02,1031.06,,2016/03/02,98.59,,2016/03/02,891.67,,2016/03/01,1236.5,,2016/03/02,204.67,,2016/03/02,494.8,,2016/03/02,1223.64,,2016/03/02,578.03,,2016/03/02,81.04,,2016/03/02,452.19,,2016/03/02,643.3077,,2016/03/02,3428.13,,2016/03/02,619.3,,2016/03/02,641.09,,2016/03/02,293.52,,2016/03/02,709.49,,2016/03/02,114.3
2016/03/02,1986.449951,,2016/02/29,1475,,2016/03/01,1030.71,,2016/03/01,95.6,,2016/03/01,892.85,,2016/02/29,1234.9,,2016/03/01,201.31,,2016/03/01,495.56,,2016/03/01,1224.46,,2016/03/01,576.96,,2016/03/01,76.23,,2016/03/01,459.59,,2016/03/01,639.8952,,2016/03/01,3437.62,,2016/03/01,613.25,,2016/03/01,628.77,,2016/03/01,296.03,,2016/03/01,710.18,,2016/03/01,113.52
2016/03/01,1978.349976,,2016/02/26,1517,,2016/02/29,999.79,,2016/02/29,91.82,,2016/02/29,874.91,,2016/02/26,1226.5,,2016/02/29,192.2,,2016/02/29,485.98,,2016/02/29,1189,,2016/02/29,565.35,,2016/02/29,75.15,,2016/02/29,447.55,,2016/02/29,622.1105,,2016/02/29,3305.19,,2016/02/29,604.26,,2016/02/29,608.63,,2016/02/29,291.3,,2016/02/29,701.07,,2016/02/29,109.92
2016/02/29,1932.22998,,2016/02/25,1516,,2016/02/26,1008.23,,2016/02/26,93.27,,2016/02/26,888.13,,2016/02/25,1236,,2016/02/26,196.5,,2016/02/26,489.23,,2016/02/26,1199.82,,2016/02/26,574.73,,2016/02/26,74.54,,2016/02/26,451.6,,2016/02/26,624.6489,,2016/02/26,3375.73,,2016/02/26,601.32,,2016/02/26,616.05,,2016/02/26,290.03,,2016/02/26,706.46,,2016/02/26,110.36
2016/02/26,1948.050049,,2016/02/24,1532,,2016/02/25,1014.51,,2016/02/25,92.78,,2016/02/25,880.85,,2016/02/24,1250.75,,2016/02/25,193.63,,2016/02/25,489.67,,2016/02/25,1201.3,,2016/02/25,578.66,,2016/02/25,74.24,,2016/02/25,444.52,,2016/02/25,621.0743,,2016/02/25,3383.13,,2016/02/25,598.39,,2016/02/25,616.06,,2016/02/25,294.54,,2016/02/25,708.84,,2016/02/25,109.61
2016/02/25,1951.699951,,2016/02/23,1521,,2016/02/24,998.89,,2016/02/24,91.08,,2016/02/24,886.15,,2016/02/23,1221.35,,2016/02/24,191.4,,2016/02/24,486.53,,2016/02/24,1190.71,,2016/02/24,568.93,,2016/02/24,73.58,,2016/02/24,438.18,,2016/02/24,613.343,,2016/02/24,3359.22,,2016/02/24,585.08,,2016/02/24,601.42,,2016/02/24,290.22,,2016/02/24,696.28,,2016/02/24,106.93
2016/02/24,1929.800049,,2016/02/22,1500,,2016/02/23,993.32,,2016/02/23,90.8,,2016/02/23,878.33,,2016/02/22,1211,,2016/02/23,192.49,,2016/02/23,484.28,,2016/02/23,1179.43,,2016/02/23,566.98,,2016/02/23,72.96,,2016/02/23,434.69,,2016/02/23,604.8722,,2016/02/23,3351.18,,2016/02/23,584.04,,2016/02/23,600,,2016/02/23,288.52,,2016/02/23,696.47,,2016/02/23,108.39
2016/02/23,1921.27002,,2016/02/19,1537,,2016/02/22,1010.99,,2016/02/22,92.8,,2016/02/22,906.95,,2016/02/19,1231.15,,2016/02/22,198.66,,2016/02/22,491.9,,2016/02/22,1185.16,,2016/02/22,569.93,,2016/02/22,75.32,,2016/02/22,446.13,,2016/02/22,615.0025,,2016/02/22,3400.39,,2016/02/22,584.04,,2016/02/22,597.51,,2016/02/22,288.61,,2016/02/22,700.14,,2016/02/22,109.8
2016/02/22,1945.5,,2016/02/18,1525,,2016/02/19,995.51,,2016/02/19,91.94,,2016/02/19,888.61,,2016/02/18,1210.1,,2016/02/19,194.65,,2016/02/19,480.54,,2016/02/19,1162.21,,2016/02/19,563.28,,2016/02/19,70.75,,2016/02/19,440.51,,2016/02/19,605.4567,,2016/02/19,3367.6,,2016/02/19,564.33,,2016/02/19,577.26,,2016/02/19,278.41,,2016/02/19,692.02,,2016/02/19,106.81
2016/02/19,1917.780029,,2016/02/17,1525,,2016/02/18,991.31,,2016/02/18,93.43,,2016/02/18,881.07,,2016/02/17,1210,,2016/02/18,194.28,,2016/02/18,478.43,,2016/02/18,1153.32,,2016/02/18,564.66,,2016/02/18,72.24,,2016/02/18,444.49,,2016/02/18,602.5193,,2016/02/18,3371.42,,2016/02/18,585.94,,2016/02/18,574.09,,2016/02/18,275.18,,2016/02/18,693.43,,2016/02/18,108.02
2016/02/18,1917.829956,,2016/02/16,1535,,2016/02/17,997.82,,2016/02/17,95.14,,2016/02/17,892.84,,2016/02/16,1209.5,,2016/02/17,197.61,,2016/02/17,480.34,,2016/02/17,1162.35,,2016/02/17,566.92,,2016/02/17,73.26,,2016/02/17,445.73,,2016/02/17,606.0461,,2016/02/17,3420.09,,2016/02/17,577.3,,2016/02/17,578.26,,2016/02/17,272.01,,2016/02/17,689.64,,2016/02/17,108.82
2016/02/17,1926.819946,,2016/02/15,1526,,2016/02/16,973.85,,2016/02/16,93.78,,2016/02/16,883.31,,2016/02/15,1208.2,,2016/02/16,196.03,,2016/02/16,473.88,,2016/02/16,1135.01,,2016/02/16,561.99,,2016/02/16,70.34,,2016/02/16,437.95,,2016/02/16,591.9257,,2016/02/16,3369.22,,2016/02/16,581.1,,2016/02/16,577.96,,2016/02/16,263.63,,2016/02/16,676.04,,2016/02/16,105.69
2016/02/16,1895.579956,,2016/02/12,1564,,2016/02/12,961.23,,2016/02/12,93.43,,2016/02/12,861.94,,2016/02/12,1239.75,,2016/02/12,191.43,,2016/02/12,463.48,,2016/02/12,1101.55,,2016/02/12,553.52,,2016/02/12,68.73,,2016/02/12,432.05,,2016/02/12,571.8998,,2016/02/12,3301.94,,2016/02/12,560.88,,2016/02/12,563.85,,2016/02/12,257.18,,2016/02/12,665.53,,2016/02/12,102.92
2016/02/12,1864.780029,,2016/02/11,1565,,2016/02/11,948.02,,2016/02/11,89.51,,2016/02/11,842.91,,2016/02/11,1241,,2016/02/11,180.19,,2016/02/11,452.84,,2016/02/11,1083.36,,2016/02/11,549.29,,2016/02/11,65.25,,2016/02/11,421.19,,2016/02/11,559.1796,,2016/02/11,3226.6,,2016/02/11,546.7,,2016/02/11,539.54,,2016/02/11,251.58,,2016/02/11,661.55,,2016/02/11,99.75
2016/02/11,1829.079956,,2016/02/10,1512,,2016/02/10,951.96,,2016/02/10,90.91,,2016/02/10,860.01,,2016/02/10,1190,,2016/02/10,188.5,,2016/02/10,460.03,,2016/02/10,1079.51,,2016/02/10,558.18,,2016/02/10,65.56,,2016/02/10,430.51,,2016/02/10,563.6537,,2016/02/10,3285.04,,2016/02/10,573.5,,2016/02/10,565.7,,2016/02/10,254.81,,2016/02/10,683.67,,2016/02/10,101.54
2016/02/10,1851.859985,,2016/02/09,1534,,2016/02/09,942.45,,2016/02/09,90.82,,2016/02/09,856.19,,2016/02/09,1191,,2016/02/09,190.45,,2016/02/09,459.04,,2016/02/09,1072.63,,2016/02/09,555.68,,2016/02/09,66.13,,2016/02/09,436.37,,2016/02/09,567.993,,2016/02/09,3256.85,,2016/02/09,580.41,,2016/02/09,555.78,,2016/02/09,248.98,,2016/02/09,687.08,,2016/02/09,101.3
2016/02/09,1852.209961,,2016/02/08,1494,,2016/02/08,946.8,,2016/02/08,91.94,,2016/02/08,840.36,,2016/02/08,1193.25,,2016/02/08,190.83,,2016/02/08,453.47,,2016/02/08,1067.37,,2016/02/08,551.73,,2016/02/08,67.84,,2016/02/08,431.13,,2016/02/08,571.4495,,2016/02/08,3244.95,,2016/02/08,575.57,,2016/02/08,548.87,,2016/02/08,243.81,,2016/02/08,684.42,,2016/02/08,102.45
2016/02/08,1853.439941,,2016/02/05,1491,,2016/02/05,969.03,,2016/02/05,93.18,,2016/02/05,830.99,,2016/02/05,1150.35,,2016/02/05,197.16,,2016/02/05,453.94,,2016/02/05,1092.96,,2016/02/05,554.31,,2016/02/05,68.72,,2016/02/05,443.51,,2016/02/05,586.2511,,2016/02/05,3285.02,,2016/02/05,588.88,,2016/02/05,567.06,,2016/02/05,251.07,,2016/02/05,690.21,,2016/02/05,103.02
2016/02/05,1880.050049,,2016/02/04,1474,,2016/02/04,1006.2,,2016/02/04,94.46,,2016/02/04,833.86,,2016/02/04,1156.35,,2016/02/04,199.74,,2016/02/04,461.67,,2016/02/04,1137.93,,2016/02/04,558.46,,2016/02/04,68.6,,2016/02/04,448.42,,2016/02/04,607.7197,,2016/02/04,3407.91,,2016/02/04,591.99,,2016/02/04,586,,2016/02/04,262.22,,2016/02/04,691.63,,2016/02/04,104.35
2016/02/04,1915.449951,,2016/02/03,1441,,2016/02/03,1011.7,,2016/02/03,93.15,,2016/02/03,801.2,,2016/02/03,1132,,2016/02/03,196.8,,2016/02/03,450.29,,2016/02/03,1147.89,,2016/02/03,566.45,,2016/02/03,64.22,,2016/02/03,438.47,,2016/02/03,597.1121,,2016/02/03,3402.29,,2016/02/03,577.99,,2016/02/03,584.41,,2016/02/03,258.58,,2016/02/03,688.4,,2016/02/03,103.79
2016/02/03,1912.530029,,2016/02/02,1426,,2016/02/02,1023.66,,2016/02/02,89.84,,2016/02/02,792.89,,2016/02/02,1128.5,,2016/02/02,197.84,,2016/02/02,446.01,,2016/02/02,1172.14,,2016/02/02,566.36,,2016/02/02,59.43,,2016/02/02,425.11,,2016/02/02,595.6979,,2016/02/02,3304.92,,2016/02/02,559.32,,2016/02/02,585.91,,2016/02/02,255.7,,2016/02/02,677.86,,2016/02/02,104.87
2016/02/02,1903.030029,,2016/02/01,1433,,2016/02/01,1039.47,,2016/02/01,91.45,,2016/02/01,816.69,,2016/02/01,1126.5,,2016/02/01,204.73,,2016/02/01,457.98,,2016/02/01,1193.38,,2016/02/01,572.85,,2016/02/01,61.41,,2016/02/01,425.81,,2016/02/01,616.6042,,2016/02/01,3375.2,,2016/02/01,612.9,,2016/02/01,603.83,,2016/02/01,268.23,,2016/02/01,689.11,,2016/02/01,107.58
2016/02/01,1939.380005,,2016/01/29,1408,,2016/01/29,1034.26,,2016/01/29,91.19,,2016/01/29,810.69,,2016/01/29,1111.8,,2016/01/29,206.48,,2016/01/29,453.81,,2016/01/29,1190.58,,2016/01/29,575.84,,2016/01/29,60.77,,2016/01/29,423.73,,2016/01/29,613.6808,,2016/01/29,3369.54,,2016/01/29,611,,2016/01/29,613.12,,2016/01/29,264,,2016/01/29,689.28,,2016/01/29,106.67
2016/01/29,1940.23999,,2016/01/28,1358,,2016/01/28,998.11,,2016/01/28,85.52,,2016/01/28,792.79,,2016/01/28,1114,,2016/01/28,199.73,,2016/01/28,441.73,,2016/01/28,1193.82,,2016/01/28,565.23,,2016/01/28,58.21,,2016/01/28,414.28,,2016/01/28,586.8484,,2016/01/28,3373.6,,2016/01/28,599.77,,2016/01/28,598.76,,2016/01/28,255.88,,2016/01/28,670.72,,2016/01/28,104.31
2016/01/28,1893.359985,,2016/01/27,1438,,2016/01/27,973.18,,2016/01/27,83.33,,2016/01/27,780.96,,2016/01/27,1116.25,,2016/01/27,198.59,,2016/01/27,444.02,,2016/01/27,1165.47,,2016/01/27,574.42,,2016/01/27,58,,2016/01/27,412.29,,2016/01/27,588.6797,,2016/01/27,3462.41,,2016/01/27,583.17,,2016/01/27,599.08,,2016/01/27,264.91,,2016/01/27,664.76,,2016/01/27,105.54
2016/01/27,1882.949951,,2016/01/26,1433,,2016/01/26,992.07,,2016/01/26,85.29,,2016/01/26,787.28,,2016/01/26,1113.6,,2016/01/26,197.76,,2016/01/26,447.44,,2016/01/26,1187.8,,2016/01/26,578.83,,2016/01/26,57.18,,2016/01/26,417.22,,2016/01/26,595.8588,,2016/01/26,3527.35,,2016/01/26,581.27,,2016/01/26,609.44,,2016/01/26,269.02,,2016/01/26,681.98,,2016/01/26,106.63
2016/01/26,1903.630005,,2016/01/25,1422,,2016/01/25,985.3,,2016/01/25,81.37,,2016/01/25,773.2,,2016/01/25,1106.6,,2016/01/25,193.77,,2016/01/25,440.56,,2016/01/25,1175.55,,2016/01/25,569.27,,2016/01/25,54.42,,2016/01/25,411.08,,2016/01/25,589.805,,2016/01/25,3530.77,,2016/01/25,560.53,,2016/01/25,587.59,,2016/01/25,266.38,,2016/01/25,671.74,,2016/01/25,104.54
2016/01/25,1877.079956,,2016/01/22,1417,,2016/01/22,997.74,,2016/01/22,82.53,,2016/01/22,787.31,,2016/01/22,1096.25,,2016/01/22,200.12,,2016/01/22,447.37,,2016/01/22,1184.29,,2016/01/22,573.9,,2016/01/22,53.98,,2016/01/22,423.47,,2016/01/22,598.4246,,2016/01/22,3588.14,,2016/01/22,574.36,,2016/01/22,613.83,,2016/01/22,271.76,,2016/01/22,678.69,,2016/01/22,106.14
